,id,type,x,y,distances
30,4342,A,1330.4375,977.178,"[0.0, 0.0628862760795812, 0.0, 0.04197797366171052, 0.07806590329441532, 0.013476176852120325, 0.08978576731364463, 0.06711281269889025, 0.04590548485611379, 0.011533040179307008, 0.0221408789489419, 0.09814305278136981, 0.048306880181913536, 0.0]"
31,4348,A,1319.157,945.2585,"[0.0, 0.09255385562199336, 0.0, 0.041072171247522826, 0.12842162036148563, 0.01519361060142943, 0.03345665735350867, 0.04363899857027054, 0.06958217998914407, 0.06476565395406642, 0.08707263708767687, 0.018218538964871467, 0.04803871914409008, 0.0]"
32,4354,A,1330.7975,902.118,"[0.0, 0.06095674844602561, 0.0, 0.02488600754736825, 0.12300938644576487, 0.013537861833140763, 0.045533206838331175, 0.009694688690908393, 0.102542736652528, 0.05560542866730067, 0.08792739033547381, 0.07543755275589392, 0.033003768350190255, 0.0]"
33,4360,A,1331.5175,858.9185,"[0.0, 0.054992521048239595, 0.0, 0.042973863773785315, 0.07003804447882, 0.08000124263207908, 0.06342762950100855, 0.05304552049421396, 0.06144809618064784, 0.06681985744730667, 0.06336723332755101, 0.1303752619497356, 0.050095734464532526, 0.0]"
34,4366,A,1316.878,825.798,"[0.0, 0.06253535165177126, 0.0, 0.02488600754736825, 0.06352517977658856, 0.013476176852120325, 0.04734227440975225, 0.03841506677367068, 0.07444924962110289, 0.053737808594046754, 0.02008879786380824, 0.029153006948162474, 0.06449854362303964, 0.0]"
35,4372,A,1279.4375,799.519,"[0.0, 0.012067033540722694, 0.0, 0.06859066781305967, 0.07711254885259855, 0.06668208555267974, 0.034617595820926716, 0.06420121348865937, 0.049894928681203154, 0.13544948472316332, 0.013870816339235592, 0.07543755275589392, 0.048396752478746974, 0.0]"
36,4378,A,1237.257,794.539,"[0.0, 0.013971700597034342, 0.0, 0.047421295724181745, 0.036735546368309446, 0.059069892130899415, 0.05202809425023247, 0.008904242747072466, 0.10287858525761262, 0.04973715740780715, 0.05112132283837445, 0.06510591271364863, 0.07454325525058225, 0.0]"
37,4384,A,1194.178,811.6375,"[0.0, 0.011811187298914394, 0.0, 0.025780509224307968, 0.022595006688674868, 0.014459053384389353, 0.050553875207346444, 0.039407944786503, 0.06234372897660645, 0.020605320606302158, 0.028301863708681374, 0.029985294225777892, 0.016822056184123024, 0.0]"
38,4390,A,1167.5385,849.919,"[0.0, 0.029486283081379128, 0.0, 0.026227051775901122, 0.054234542772219285, 0.009788922136034106, 0.06992346019201445, 0.018454771360819855, 0.09643170881036678, 0.023536089111975578, 0.043872785562391936, 0.07471065544042776, 0.032913606769860104, 0.0]"
39,4396,A,1167.7775,909.138,"[0.0, 0.028880322985448625, 0.0, 0.026764367199960226, 0.08083841431802741, 0.023557047028505362, 0.015279597726693517, 0.03503631014607045, 0.008993993521793087, 0.06892116995354858, 0.06471868256052993, 0.0778441619033674, 0.006391074198841107, 0.0]"
